,s,o,p
0,ROSJKFFLIXTTAW-UHFFFAOYSA-N,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,subClassOf
1,NWVVVBRKAWDGAB-UHFFFAOYSA-N,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,subClassOf
2,GOOHAUXETOMSMM-UHFFFAOYSA-N,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,subClassOf
3,OTEKOJQFKOIXMU-UHFFFAOYSA-N,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,subClassOf
4,QSLJIVKCVHQPLV-PEMPUTJUSA-N,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,subClassOf
5,BFMBKRQFMIILCH-UHFFFAOYSA-N,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,subClassOf
6,PDQAZBWRQCGBEV-UHFFFAOYSA-N,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,subClassOf
7,VFKZTMPDYBFSTM-GUCUJZIJSA-N,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,subClassOf
8,BGNGWHSBYQYVRX-UHFFFAOYSA-N,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,subClassOf
9,MKXZASYAUGDDCJ-NJAFHUGGSA-N,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,subClassOf
10,MEFQWPUMEMWTJP-UHFFFAOYSA-N,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,subClassOf
11,MTCFGRXMJLQNBG-REOHCLBHSA-N,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,subClassOf
12,IRYJRGCIQBGHIV-UHFFFAOYSA-N,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,subClassOf
13,YWTYJOPNNQFBPC-UHFFFAOYSA-N,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,subClassOf
14,SPSSULHKWOKEEL-UHFFFAOYSA-N,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,subClassOf
15,UUTKICFRNVKFRG-WDSKDSINSA-N,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,subClassOf
16,IQADUMSPOQKAAO-UHFFFAOYSA-N,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,subClassOf
17,LJTFFORYSFGNCT-UHFFFAOYSA-N,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,subClassOf
18,XAMUDJHXFNRLCY-UHFFFAOYSA-N,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,subClassOf
19,CZMRCDWAGMRECN-UGDNZRGBSA-N,http://id.nlm.nih.gov/mesh/vocab#TopicalDescriptor,subClassOf
20,LGJMUZUPVCAVPU-HRJGVYIJSA-N,http://id.nlm.nih.gov/mesh/vocab#SCR_Chemical,subClassOf
